iteration,time_s,n_initial,n_visible,n_current_trapped,n_active_visible,n_active_inside,n_active_outside,n_newly_escaped,n_visible_after_escape,n_escaped_circular,n_lost_rectangular,n_remaining_trapped
3820,6.424413762948369e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
3840,6.457385204477674e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
3860,6.492227167333526e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
3880,6.525985470234392e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
3900,6.558948262898141e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
3920,6.591913677218035e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
3940,6.626508063246749e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
3960,6.660528758401608e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
3980,6.693491059455919e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
4000,6.726453990956105e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
4020,6.761017397985989e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
4040,6.795286305839348e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
4060,6.828247226386166e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
4080,6.86120776337153e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
4100,6.895993677602518e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
4120,6.930766293769536e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
4140,6.963719272641193e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
4160,6.996670836044258e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
4180,7.030863907617629e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
4200,7.067323505417831e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
4220,7.100281478594137e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
4240,7.133237116296501e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
4260,7.167014845325047e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
4280,7.20279616579868e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
4300,7.23576277490156e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
4320,7.268724064940254e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
4340,7.302314475106964e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
4360,7.337406395308774e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
4380,7.370381965602291e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
4400,7.403342465505576e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
4420,7.436677718720547e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
4440,7.471898586835249e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
4460,7.504899882771828e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
4480,7.53785972672854e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
4500,7.570973646467008e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
4520,7.606344471595358e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
4540,7.639412448172466e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
4560,7.672371673652872e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
4580,7.705390797390697e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
4600,7.740689144237854e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
4620,7.773924156736229e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
4640,7.806882780563431e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
4660,7.839863651577288e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
4680,7.874936160081876e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
4700,7.908433790335129e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
4720,7.941391820972238e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
4740,7.974357650684065e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
4760,8.009179359310462e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
4780,8.042940047040622e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
4800,8.075897502101798e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
4820,8.108857473518302e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
4840,8.143422529880604e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
4860,8.177446237315523e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
4880,8.210403213300577e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
4900,8.243360770008003e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
4920,8.277677796430323e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
4940,8.311963821002488e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
4960,8.344920504777014e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
4980,8.3778766835776e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
5000,8.411966955054992e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
5020,8.446530173638946e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
5040,8.479487762603251e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
5060,8.512443073637807e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
5080,8.546592881849187e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
5100,8.58151694027789e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
5120,8.614473531850764e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
5140,8.647424049166481e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
5160,8.681158531215469e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
5180,8.717167189011709e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
5200,8.750126792160029e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
5220,8.783074118734037e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
5240,8.816448403417063e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
5260,8.852709602498252e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
5280,8.88568701087315e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
5300,8.918639574194156e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
5320,8.951838421294009e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
5340,8.987532044743243e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
5360,9.020544657911392e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
5380,9.053497223276483e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
