iteration,time_s,n_initial,n_visible,n_current_trapped,n_active_visible,n_active_inside,n_active_outside,n_newly_escaped,n_visible_after_escape,n_escaped_circular,n_lost_rectangular,n_remaining_trapped
3680,3.6515869306436507e-09,500,251,151,151,151,0,1,100,145,204,151
3700,3.6767234394533495e-09,500,249,150,150,150,0,0,99,145,205,150
3720,3.6998158793970317e-09,500,246,148,148,148,0,1,98,146,206,148
3740,3.7216724354978633e-09,500,245,147,147,147,0,0,98,146,207,147
3760,3.744152118721043e-09,500,243,146,146,146,0,0,97,146,208,146
3780,3.768448227173124e-09,500,241,143,143,143,0,2,98,148,209,143
3800,3.7917763022054165e-09,500,240,142,142,142,0,0,98,148,210,142
3820,3.81491233613656e-09,500,239,139,139,139,0,2,100,150,211,139
3840,3.840132743414929e-09,500,235,137,137,137,0,1,98,151,212,137
3860,3.8639217875967474e-09,500,234,135,135,135,0,1,99,152,213,135
3880,3.883839206527961e-09,500,233,134,134,134,0,1,99,153,213,134
3900,3.903751843584786e-09,500,231,133,133,133,0,0,98,153,214,133
3920,3.929558237425909e-09,500,230,132,132,132,0,0,98,153,215,132
3940,3.9513219398324954e-09,500,228,129,129,129,0,1,99,154,217,129
3960,3.974053085099637e-09,500,226,127,127,127,0,0,99,154,219,127
3980,3.99926865356943e-09,500,224,127,127,127,0,0,97,154,219,127
4000,4.020132601656256e-09,500,223,126,126,126,0,0,97,154,220,126
4020,4.041726870831073e-09,500,220,124,124,124,0,1,96,155,221,124
4040,4.064644112043695e-09,500,217,123,123,123,0,0,94,155,222,123
4060,4.087665363853313e-09,500,216,122,122,122,0,1,94,156,222,122
4080,4.113047769706296e-09,500,212,121,121,121,0,1,91,157,222,121
4100,4.138063727632693e-09,500,211,121,121,121,0,0,90,157,222,121
4120,4.163758296285626e-09,500,207,120,120,120,0,0,87,157,223,120
4140,4.186606521659245e-09,500,203,117,117,117,0,1,86,158,225,117
4160,4.2112834325784975e-09,500,203,117,117,117,0,0,86,158,225,117
4180,4.235618360963868e-09,500,200,116,116,116,0,0,84,158,226,116
4200,4.256836572444153e-09,500,199,115,115,115,0,0,84,158,227,115
4220,4.278056672444811e-09,500,197,113,113,113,0,1,84,159,228,113
4240,4.2992959643684864e-09,500,196,112,112,112,0,0,84,159,229,112
